Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1998,97.2,45.8,98.4,57.2,71.8,80.5,45.4,26.8,38.4,24.0,33.6,63.0
1999,107.0,27.4,23.4,48.9,39.0,66.2,44.4,59.0,80.0,61.8,78.2,26.5
2000,29.2,48.4,18.8,79.3,124.4,169.2,33.8,38.0,70.0,17.6,55.6,71.4
2001,31.2,94.0,31.4,36.4,92.2,61.8,34.0,34.6,50.4,108.8,75.0,40.6
2002,46.2,38.4,61.3,103.2,80.7,59.6,59.0,11.6,59.2,43.0,67.2,32.5
2003,35.4,46.8,50.0,60.8,152.8,63.8,66.2,53.4,114.2,49.4,141.2,61.6
2004,49.6,20.8,63.4,64.2,98.8,62.8,119.8,60.0,25.2,35.2,64.8,90.4
2005,70.4,75.6,32.8,97.6,14.4,31.8,20.4,135.6,79.6,47.4,102.2,58.9
2006,74.6,74.8,48.8,62.4,82.0,45.4,105.2,40.2,77.6,120.6,71.7,62.4
2007,38.6,24.6,33.4,60.8,73.6,43.2,47.4,20.8,28.6,41.2,87.8,92.7
2008,58.2,107.6,61.6,54.6,68.8,110.4,193.2,92.6,83.4,39.6,79.8,99.8
2009,44.4,73.6,68.8,133.6,60.8,70.2,84.8,144.0,40.2,71.0,32.2,80.4
2010,24.4,24.8,62.6,36.2,51.0,191.6,89.6,58.6,88.2,57.2,66.2,36.8
2011,42.0,47.0,91.4,96.6,142.0,59.0,32.4,72.2,85.0,119.2,98.0,52.0
2012,54.2,26.6,18.0,43.6,44.4,76.4,100.0,52.4,121.0,126.4,10.2,58.4
