Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1979,-7.7,-10.8,1.6,5.3,11.4,17.2,20.5,18.6,14.9,8.5,3.7,-1.1
1980,-5.1,-7.8,-2.0,6.2,13.8,15.2,20.4,21.3,15.0,7.0,2.1,-6.6
1981,-10.2,-2.1,0.0,7.6,11.8,17.3,20.6,19.4,14.3,6.5,3.4,-2.9
1982,-10.1,-7.6,-2.0,4.7,14.3,15.2,20.9,17.3,14.8,9.7,3.9,0.7
1983,-4.1,-3.1,0.6,5.5,10.1,18.3,22.3,21.1,16.7,8.9,3.3,-6.4
1984,-9.7,-1.5,-4.6,7.2,10.3,18.2,19.8,21.1,13.9,10.3,2.7,-0.2
1985,-8.4,-5.8,0.3,7.3,13.1,15.7,19.6,19.4,17.0,9.4,3.4,-4.6
1986,-5.6,-6.1,0.6,7.6,14.3,16.4,21.0,18.4,14.7,8.7,1.6,-1.2
1987,-4.6,-5.8,1.8,8.8,14.7,19.6,22.5,19.6,15.5,7.0,3.4,-0.3
1988,-4.5,-6.8,-0.8,5.9,13.9,17.7,22.9,21.4,15.5,7.2,4.5,-2.8
1989,-2.2,-6.5,-2.1,5.1,13.0,18.4,21.5,19.7,15.7,9.8,1.9,-10.1
1990,-0.8,-3.5,0.7,8.3,11.6,18.7,20.9,20.3,15.3,9.5,4.6,-1.0
1991,-5.7,-2.4,1.6,8.7,16.3,20.0,21.7,21.1,14.9,10.4,2.4,-2.4
1992,-4.2,-3.9,-1.1,5.6,12.3,16.4,18.0,17.9,14.7,7.4,2.8,-1.6
1993,-4.0,-8.4,-2.0,6.6,12.1,17.1,21.7,21.1,13.6,7.9,3.1,-2.7
1994,-12.4,-8.3,-0.8,7.3,11.8,19.1,21.5,18.7,15.9,10.0,5.4,-0.1
1995,-3.1,-7.3,1.9,4.1,13.3,19.9,21.9,21.8,14.0,11.0,1.0,-5.1
1996,-6.7,-5.8,-2.8,4.4,11.6,18.6,19.6,20.7,16.5,9.2,0.9,-0.4
1997,-6.4,-3.2,-1.4,5.8,9.6,19.8,20.9,19.0,15.5,9.5,2.5,-0.9
1998,-2.2,-0.3,2.1,8.6,17.0,18.9,21.2,21.7,18.2,10.8,4.9,0.7
1999,-6.2,-1.6,0.2,8.1,15.5,20.4,24.3,20.3,18.0,9.4,5.8,-0.7
2000,-5.8,-3.1,4.5,6.7,14.3,18.2,20.1,20.6,15.9,11.2,3.6,-7.2
2001,-4.1,-3.0,-0.3,8.3,14.8,19.7,21.0,23.2,16.7,10.6,7.1,1.7
2002,-0.5,-1.3,0.4,7.3,10.9,19.1,24.2,22.6,20.2,8.9,3.2,-2.0
2003,-8.3,-7.0,-0.7,5.7,12.3,18.3,21.8,22.1,17.0,9.1,4.7,-0.1
2004,-9.4,-3.8,2.3,7.0,13.2,17.6,20.7,19.5,18.4,10.7,5.4,-2.8
2005,-6.8,-4.0,-1.6,7.8,11.9,22.6,24.1,22.5,19.0,11.1,5.1,-3.5
2006,0.2,-3.6,1.3,8.2,14.4,19.8,23.4,21.1,15.7,8.7,5.3,1.9
2007,-2.9,-8.4,0.4,6.1,14.3,20.8,21.3,22.4,18.4,14.2,2.6,-2.3
2008,-2.1,-5.3,-1.7,9.5,11.8,19.6,21.5,19.7,16.9,9.0,2.9,-3.1
2009,-8.8,-3.7,0.8,7.8,13.1,17.5,19.2,20.6,16.9,8.7,6.0,-2.4
2010,-5.2,-3.4,4.4,10.5,16.0,19.2,23.3,22.4,16.4,10.2,4.5,-3.8
2011,-7.0,-5.4,-0.5,6.9,14.1,19.1,24.4,21.9,17.7,10.5,6.6,0.8
2012,-1.7,-0.3,6.7,7.3,16.6,20.6,24.3,21.6,16.4,10.2,3.5,0.8
